mainid	name	city	country	publication	functions	adafter	adbefore	ahafter	ahbefore
EA.CA.2200	Mosque of Ahmad ibn Tulun	Cairo	Egypt	EMA.1940.2.fig.257	mosque, architectural drawing	876	879	263	265
EA.CA.2201	Mosque of Ahmad ibn Tulun	Cairo	Egypt	EMA.1940.2.fig.249	mosque, architectural drawing	876	879	263	265
EA.CA.2202	Mosque of Ahmad ibn Tulun	Cairo	Egypt	EMA.1940.2.fig.248	mosque, architectural drawing	876	879	263	265
EA.CA.2203	Mosque of Ahmad ibn Tulun	Cairo	Egypt	EMA.1940.2.fig.254	mosque, architectural drawing	876	879	263	265
EA.CA.2204	Mosque of Ahmad ibn Tulun	Cairo	Egypt	EMA.1940.2.pl.113b	mosque	876	879	263	265
EA.CA.2210	Raqqa	Raqqa	Syria	EMA.1940.2.fig.27	architectural drawing, city	772	772	156	156
EA.CA.2211	Baghdad Gate	Raqqa	Syria	EMA.1940.2.fig.31	gateway, architectural drawing	1100	1200	494	597
EA.CA.2212	Great Mosque of Raqqa	Raqqa	Syria	EMA.1940.2.fig.33	architectural drawing, mosque	772	1166	156	561
EA.CA.2216	Round city of al-Mansur	Baghdad	Iraq	EMA.1940.2.fig.2	architectural drawing, city	762	762	145	145
EA.CA.2220	Ukhaidir	Ukhaidir	Iraq	EMA.1940.2.fig.38	palace, architectural drawing	778	0	162	0
EA.CA.2227	Mosque of al-Aqsa	Jerusalem	Palestine	EMA.1940.2.fig.122	mosque, architectural drawing	715	1218	97	614
EA.CA.2228	Mosque of al-Aqsa	Jerusalem	Palestine	EMA.1940.2.fig.119	mosque, architectural drawing	715	1218	97	614
EA.CA.2231	Mosque of `Amr ibn al-`As	Cairo (Fustat)	Egypt	EMA.1940.2.fig.168	mosque, architectural drawing	641	0	21	0
EA.CA.2232	Mosque of Ahmad ibn Tulun	Cairo	Egypt		mosque	876	879	263	265
EA.CA.2233	Ukhaidir	Ukhaidir	Iraq		palace	778	0	162	0
EA.CA.2234	Great Mosque of Samarra (of al-Mutawakkil)	Samarra	Iraq	EMA.1940.2.fig.202	mosque, architectural drawing	847	861	233	247
EA.CA.2235	Great Mosque of Susa	Susa	Tunisia	EMA.1940.2.fig.199	mosque	850	850	236	236
EA.CA.2236	Manar	Susa	Tunisia	EMA.1940.2.fig.220	architectural drawing, minaret	859	859	245	245
EA.CA.2237	Mosque of Abu Dulaf	Samarra	Iraq	EMA.1940.2.fig.222	architectural drawing, mosque	859	861	245	247
EA.CA.2238	Great Mosque of Cordova	Cordova	Spain	EMA.1940.2.fig.146	architectural drawing, mosque	785	965	169	354
EA.CA.2239	Great Mosque of Cordova	Cordova	Spain	EMA.1940.2.fig.144	architectural drawing, mosque	785	965	169	354
EA.CA.2240	Nilometer	Cairo (Roda Island)	Egypt	EMA.1940.2.fig.230	nilometer	861	861	247	247
EA.CA.2241	Nilometer	Cairo (Roda Island)	Egypt	EMA.1940.2.fig.229	nilometer	861	861	247	247
EA.CA.2242	Aghlabid Basins	Qairawan	Tunisia	EMA.1940.2.fig.228	architectural drawing, cistern	860	863	246	248
EA.CA.2243	Qasr al-`Ashiq	Samarra	Iraq	EMA.1940.2.fig.259	palace, architectural drawing	878	882	265	269
EA.CA.2244	Qasr al-`Ashiq	Samarra	Iraq	EMA.1940.2.fig.258	palace, architectural drawing	878	882	265	269
EA.CA.2245	Balkuwara	Samarra	Iraq	EMA.1940.2.fig.214	architectural drawing, palace	849	859	235	245
EA.CA.2246	Great Mosque of Samarra (of al-Mutawakkil)	Samarra	Iraq	EMA.1940.2.fig.205	mosque, architectural drawing	847	861	233	247
EA.CA.2247	Round city of al-Mansur	Baghdad	Iraq	EMA.1940.2.fig.4	architectural drawing, gateway	762	762	145	145
EA.CA.2249	Great Mosque of al-Mansur	Baghdad	Iraq		architectural drawing, mosque	762	762	145	145
EA.CA.2255	Mosque at Umm al-Walid	Umm al-Walid	Syria	EMA.1969.1.ii.fig.561	architectural drawing, mosque	712	737	93	119
EA.CA.2259	Great Mosque of Damascus	Damascus	Syria	EMA.1969.1.i.pls 57c and 62a	mosque	706	715	87	96
EA.CA.2260	Great Mosque of Damascus	Damascus	Syria	EMA.1969.1.i.pl.57a 58a fig.40	mosque	706	715	87	96
EA.CA.2261	Great Mosque of Damascus	Damascus	Syria	EMA.1969.1.i.pl.55b 55c	mosque	706	715	87	96
EA.CA.2262	Great Mosque of Damascus	Damascus	Syria		architectural drawing, mosque	706	715	87	96
EA.CA.2263	Great Mosque of Diyarbakir	Diyarbakir	Turkey		architectural drawing, mosque	1091	1164	484	560
EA.CA.2264	Dome of the Rock	Jerusalem	Palestine		shrine, architectural drawing	691	692	72	72
EA.CA.2265	Ukhaidir	Ukhaidir	Iraq	EMA.1940.2.fig.38	palace, architectural drawing	778	0	162	0
EA.CA.2267	Ukhaidir	Ukhaidir	Iraq	EMA.1940.2.fig.36	palace, architectural drawing	778	0	162	0
EA.CA.2275	Jausaq al-Khaqani	Samarra, Ming Oi,Turfan	Iraq/China	EMA.1940.2.fig.193	palace	836	842	222	228
EA.CA.2276	Bab al-`Amma	Samarra	Iraq	EMA.1940.2.fig.183	architectural drawing, gateway	836	861	222	247
EA.CA.2277	Mosque of Abu Dulaf	Samarra	Iraq	EMA.1940.2.fig.223	architectural drawing, mosque	859	861	245	247
EA.CA.2278	Qubba al-Sulaibiyya	Samarra	Iraq	EMA.1940.2.fig.225	architectural drawing, mausoleum	862	862	248	248
EA.CA.2279	Great Mosque of Samarra (of al-Mutawakkil)	Samarra	Iraq		mosque, architectural drawing	847	861	233	247
