"ID","CON1","CON2"
1467,6616,6617
1468,6617,6620
1469,6137,6136
1470,6139,6138
1471,3927,6593
1472,6593,6581
1473,6581,6582
1474,6582,3925
1475,3925,5556
1476,5556,6604
1477,5556,6146
1478,5556,6616
1479,5556,6137
1480,5556,6139
1481,5556,6149
1482,5556,6148
1483,5556,6062
1484,5556,5589
1485,5556,6590
1486,5556,6568
1487,5520,5519
1488,5519,5582
1489,5582,4407
1490,4407,3927
1491,5530,5551
1492,5551,3927
1493,4409,4430
1494,4430,4438
1495,4438,4444
1496,4444,5530
1497,4430,4445
1498,4445,5530
1499,6109,4419
1500,6091,4419
1501,6075,6074
1502,6560,6075
1503,6132,6075
1504,6124,6075
1505,6098,6075
1506,6077,6075
1507,6063,6075
1508,4441,6124
1509,6084,6132
1510,4417,6061
1511,4081,4441
1512,4081,6084
1513,4081,6077
1514,4081,4417
1515,4081,6098
1516,4081,6063
1517,6569,4504
1518,4510,6585
1519,4504,4510
1520,4495,4504
1521,6061,6075
1522,6141,6142
1523,6142,6131
1524,6131,6558
1525,6558,6576
1526,6576,6587
1527,6558,6575
1528,6575,6597
1529,6597,6588
1530,6587,4117
1531,4130,4117
1532,5768,5499
1533,5929,5918
1534,4222,5916
1535,5916,5918
1536,5909,5918
1537,5849,5918
1538,5842,5918
1539,5831,5918
1540,5313,5819
1541,5819,5842
1542,5825,5918
1543,5824,5918
1544,5335,5980
1545,5335,5973
1546,5335,5975
1547,5335,6030
1548,5365,5843
1549,5843,5870
1550,5335,5843
1551,5846,5843
1552,4224,4209
1553,4215,4154
1554,5411,5411
1555,4151,4215
1556,5804,5850
1557,5392,5899
1558,6048,5880
1559,5955,5880
1560,5889,6048
1561,5861,5889
1562,5383,5805
1563,5933,5955
1564,5818,5880
1565,5340,5933
1566,5340,5889
1567,5340,6028
1568,5340,6027
1569,5872,6028
1570,5872,6027
1571,5872,5933
1572,5872,5889
1573,5340,5340
1574,5275,5872
1575,5275,5340
1576,3178,4188
1577,3178,4809
1578,5307,5321
1579,3594,5376
1580,5332,5371
1581,5305,5332
1582,5360,5313
1583,5265,5861
1584,5275,5383
1585,5275,5804
1586,5340,5383
1587,5265,5275
1588,3178,4854
1589,4790,5275
1590,5305,5392
1591,5305,5298
1592,4153,4774
1593,3398,4420
1594,6598,6628
1595,5481,5497
1596,4785,4847
1597,5497,5497
1598,5779,6495
1599,3532,4191
1600,3817,4215
1601,4770,4152
1602,3532,4212
1603,4819,4820
1604,3178,4184
1605,4152,5296
1606,4153,4806
1607,3532,4211
1608,4170,4170
1609,1174,3991
1610,1018,4618
1611,4591,4592
1612,4595,4591
1613,4592,4606
1614,4606,1018
1615,4601,4602
1616,4602,4613
1617,4613,4614
1618,4614,1533
1619,1015,4620
1620,4620,4621
1621,4621,4622
1622,1164,4599
1623,4599,4612
1624,4612,4619
1625,3948,4603
1626,4076,4590
1627,3201,4609
1628,4609,4616
1629,4616,4617
1630,1583,4574
1631,4449,5506
1632,4421,4449
1633,3664,4577
1634,6092,6122
1635,4130,6117
1636,4130,6122
1637,6087,6092
1638,6082,6087
1639,6070,6082
1640,6076,6082
1641,6057,6070
1642,6057,6076
1643,6052,6057
1644,5593,6052
1645,5506,5593
1646,5518,5593
1647,4421,5544
1648,5544,6103
1649,4421,5518
1650,4421,4432
1651,4432,4130
1652,4400,4421
1653,4424,6083
1654,4423,4424
1655,6083,6093
1656,6093,6607
1657,6607,6127
1658,6127,6637
1659,6127,6568
1660,6637,6645
