find_id,within_context_id
1711,2657
1805,2687
1830,2664
1860,2062
21521,2652
21524,2652
21526,2652
21528,2652
21571,2657
21574,2657
21578,2657
21641,2664
21645,2664
21648,2664
21671,2667
21674,2667
21677,2667
21733,2673
21751,2675
21754,2675
21758,2675
21834,2683
21871,2687
21874,2687
21901,2690
21908,2690
24071,2907
24078,2907
24231,2923
24232,2923
24238,2923
24251,2925
24254,2925
24258,2925
25281,3028
25284,3028
25288,3028
18401,2340
18404,2340
18408,2340
19531,2453
19551,2455
19554,2455
19555,2455
19558,2455
19561,2456
19564,2456
19565,2456
19566,2456
19568,2456
19608,2460
19701,2470
19703,2470
19708,2470
19710,2470
19711,2471
19714,2471
19715,2471
19718,2471
19720,2471
19738,2473
19961,2496
12061,1706
13111,1811
15011,2001
15351,2035
15731,2073
15741,2074
15744,2074
17841,2284
17846,2284
17848,2284
17871,2287
17872,2287
17873,2287
17876,2287
17878,2287
17880,2287
5162,1016
6262,1126
6402,1140
6412,1141
6632,1163
6682,1168
7772,1277
8622,1362
9882,1488
11712,1671
12562,1756
12572,1757
12612,1761
12642,1764
12682,1768
12712,1771
12722,1772
12752,1775
12882,1788
12962,1796
13002,1800
13092,1809
13442,1844
13642,1864
13692,1869
13932,1893
14002,1900
14052,1905
14072,1907
14152,1915
14202,1920
14222,1922
14262,1926
14342,1934
14462,1946
14482,1948
14522,1952
14752,1975
14862,1986
14892,1989
15052,2005
15092,2009
15182,2018
15292,2029
15422,2042
15642,2064
15682,2068
15692,2069
15732,2073
15742,2074
15812,2081
16652,2165
16902,2190
17322,2232
17332,2233
17662,2266
11562,1656
11362,1636
32050,3704
5151,1015
5158,1015
5181,1018
6411,1141
6413,1141
6501,1150
6508,1150
6511,1151
6514,1151
6521,1152
6528,1152
6651,1165
6681,1168
6683,1168
7541,1254
7545,1254
10331,1533
10441,1544
10443,1544
10444,1544
10445,1544
10446,1544
10448,1544
10450,1544
11223,1622
11230,1622
11401,1640
11403,1640
11404,1640
11405,1640
11408,1640
11410,1640
12976,1797
13181,1818
13183,1818
13184,1818
13188,1818
13190,1818
13443,1844
13445,1844
13446,1844
13449,1844
13450,1844
13451,1845
13454,1845
13455,1845
13456,1845
13458,1845
14053,1905
14121,1912
14123,1912
14124,1912
14126,1912
14128,1912
14129,1912
14611,1961
14613,1961
14614,1961
14615,1961
14618,1961
15014,2001
15018,2001
15095,2009
15097,2009
15098,2009
15231,2023
15234,2023
15251,2025
15256,2025
15361,2036
15364,2036
15367,2036
15368,2036
15369,2036
15694,2069
15745,2074
15748,2074
25331,3033
25334,3033
25481,3048
25484,3048
25485,3048
25488,3048
25490,3048
25491,3049
25494,3049
25495,3049
25498,3049
25500,3049
25674,3067
25675,3067
25680,3067
25711,3071
25881,3088
25884,3088
25888,3088
25891,3089
25894,3089
25898,3089
25941,3094
25944,3094
25945,3094
25948,3094
