find_id,find_material
15745,GLASS
15748,Animal Bone
25331,Pottery
25334,Iron
25481,Pottery
25484,IRON
25485,Glass
25488,Animal Bone
25490,Charcoal
25491,Pottery
25494,Iron
25495,Glass
25498,Animal Bone
25500,Charcoal
25674,IRON
25675,GLASS
25680,CHARCOAL
25711,POTTERY
25881,POTTERY
25884,IRON
25888,Animal Bone
25891,POTTERY
25894,IRON
25898,Animal Bone
25941,POTTERY
25944,IRON
25945,GLASS
25948,Animal Bone
25950,CHARCOAL
25961,POTTERY
25964,IRON
25981,POTTERY
25984,IRON
25991,POTTERY
25993,CBM
25994,IRON
25996,STONE
25998,Animal Bone
26000,CHARCOAL
27011,POTTERY
27018,Animal Bone
27041,POTTERY
27044,IRON
27045,GLASS
27048,BONE
27066,STONE
27068,BONE
27111,POTTERY
27118,Animal Bone
27120,CHARCOAL
27131,POTTERY
27134,IRON
27136,STONE
27138,Animal Bone
27141,POTTERY
27143,CBM
27144,IRON
27148,Animal Bone
27150,OTHER
27211,POTTERY
27311,POTTERY
27314,IRON
27315,GLASS
27320,CHARCOAL
27421,POTTERY
27461,POTTERY
27471,POTTERY
27473,CBM
27474,IRON
27475,GLASS
27478,Animal Bone
27480,CHARCOAL
27483,CBM
27484,IRON
27488,Animal Bone
27521,POTTERY
27523,CBM
27524,IRON
27525,GLASS
27528,Animal Bone
27529,OTHER
27530,CHARCOAL
27591,POTTERY
27593,CBM
27594,IRON
27595,GLASS
27598,Animal Bone
27600,CHARCOAL
27661,POTTERY
27663,CBM
27664,IRON
27670,CHARCOAL
27671,POTTERY
27674,IRON
27680,CHARCOAL
27683,CBM
27684,IRON
27686,STONE
27690,CHARCOAL
27741,POTTERY
27744,IRON
27748,BONE
27751,POTTERY
27753,CBM
27756,STONE
27758,Animal Bone
27759,OTHER
27771,POTTERY
27778,Animal Bone
27781,POTTERY
27788,Animal Bone
27790,CHARCOAL
27811,POTTERY
27813,CBM
27814,IRON
27815,GLASS
27851,POTTERY
27858,BONE
27871,POTTERY
27874,IRON
27875,GLASS
27878,Animal Bone
27881,POTTERY
27883,CBM
27884,IRON
27886,STONE
27891,POTTERY
27898,Animal Bone
27901,POTTERY
27904,IRON
27931,POTTERY
27933,CBM
27938,BONE
27941,POTTERY
27944,IRON
27951,POTTERY
27953,CBM
27954,IRON
27955,GLASS
27958,Animal Bone
27960,CHARCOAL
27991,POTTERY
28011,POTTERY
28014,IRON
28018,BONE
28020,CHARCOAL
28031,POTTERY
28033,CBM
28034,IRON
28035,GLASS
28037,STONE
28041,POTTERY
28044,IRON
28046,STONE
28051,POTTERY
28071,POTTERY
28081,POTTERY
28084,IRON
28088,BONE
28090,CHARCOAL
28111,POTTERY
28114,IRON
28121,POTTERY
28123,CBM
28131,POTTERY
28134,IRON
28137,STONE
28138,Animal Bone
28161,POTTERY
28163,CBM
28164,IRON
28166,STONE
28171,POTTERY
28174,IRON
28175,GLASS
28181,POTTERY
28201,POTTERY
28204,IRON
28221,POTTERY
28224,IRON
28241,POTTERY
28243,CBM
28244,IRON
28245,GLASS
28246,STONE
28248,Animal Bone
28250,SHELL
28254,IRON
28261,POTTERY
28281,POTTERY
28284,IRON
28288,Animal Bone
28291,POTTERY
28298,Animal Bone
28301,POTTERY
28304,IRON
28305,GLASS
28308,Animal Bone
28310,CHARCOAL
28431,POTTERY
28434,IRON
28435,GLASS
28440,CHARCOAL
28461,POTTERY
28464,IRON
28466,STONE
28468,Animal Bone
28470,CHARCOAL
28471,POTTERY
28476,STONE
28478,BONE
28501,POTTERY
28504,IRON
28511,POTTERY
28514,IRON
28515,GLASS
28518,Animal Bone
28520,CHARCOAL
28531,POTTERY
28534,IRON
28538,BONE
28601,POTTERY
28604,IRON
28605,GLASS
28651,POTTERY
28653,CBM
28654,IRON
28655,GLASS
28657,STONE
28658,BONE
28660,CHARCOAL
28671,POTTERY
28674,IRON
28675,GLASS
28676,STONE
28678,Animal Bone
28681,POTTERY
28691,POTTERY
28694,IRON
28721,POTTERY
28724,IRON
28741,POTTERY
28743,CBM
28744,IRON
28745,GLASS
28746,STONE
28747,STONE
28748,Animal Bone
28750,CHARCOAL
28751,POTTERY
28761,POTTERY
28821,POTTERY
28828,Animal Bone
28831,POTTERY
28838,BONE
28841,POTTERY
28843,CBM
28844,IRON
28850,CHARCOAL
28861,POTTERY
