"ID","REC_TYPE","FNO","D_DATA","D_DIAM","D_LENGTH","D_WIDTH","D_THICK","D_HEIGHT","D_WEIGHT","D_AREA","D_VOLUME"
702,"SF",3219,,0,150,80,0,80,0,0,0
703,"SF",3220,,0,120,108,0,56,0,0,0
704,"SF",2965,,0,17,14,0,0,0,0,0
705,"SF",3229,,0,215,163,0,100,0,0,0
706,"SF",3230,,13,0,0,4,0,0,0,0
707,"SF",3112,,24,0,0,0,6,0,0,0
708,"SF",4071,,0,115,0,8,0,0,0,0
709,"SF",3253,,0,118,100,36,0,0,0,0
710,"SF",3256,,0,64,21,0,0,0,0,0
711,"SF",2767,"D. of scoop",25,69,0,0,0,0,0,0
712,"SF",3264,,0,15,15,1,0,0,0,0
713,"BF",36508,"2003",0,0,0,0,0,400,0,0
714,"BF",5154,"Primary",0,0,0,0,0,2,0,0
715,"BF",5188,"2003",0,0,0,0,0,25,0,0
716,"BF",5248,"Primary",0,0,0,0,0,10,0,0
717,"BF",6504,"Primary",0,0,0,0,0,5,0,0
718,"BF",6508,"2003",0,0,0,0,0,60,0,0
719,"BF",6528,"2003",0,0,0,0,0,40,0,0
720,"BF",6578,"2003",0,0,0,0,0,50,0,0
721,"BF",6588,"2003",0,0,0,0,0,25,0,0
722,"BF",6604,"Primary",0,0,0,0,0,5,0,0
723,"BF",6608,"2003",0,0,0,0,0,50,0,0
724,"BF",6638,"2003",0,0,0,0,0,80,0,0
725,"BF",6644,"Primary",0,0,0,0,0,2,0,0
726,"BF",6648,"2003",0,0,0,0,0,50,0,0
727,"BF",10834,"Primary",0,0,0,0,0,20,0,0
728,"BF",10838,"2003",0,0,0,0,0,1,0,0
729,"BF",12154,"Primary",0,0,0,0,0,5,0,0
730,"BF",12468,"2003",0,0,0,0,0,40,0,0
731,"BF",13444,"Primary",0,0,0,0,0,400,0,0
732,"BF",13448,"Primary",0,0,0,0,0,1100,0,0
733,"BF",13454,"Primary",0,0,0,0,0,10,0,0
734,"BF",13464,"Primary",0,0,0,0,0,5,0,0
735,"BF",15044,"Primary",0,0,0,0,0,2,0,0
