ID,PID,REC_TYPE,SFNO,MATERIAL,NAME,CONTEXT,AOD,EASTINGS,NORTHINGS,START_DATE,END_DATE,DATE_TERM,QUANTITY,SPOTDATE
3135,F3135,BF,12690,CHARCOAL,;OTHER;,1768,0,0,0,0,0,,0
3144,F3144,BF,12711,POTTERY,Household Vessel,1771,0,0,0,0,0,;ROMAN;,0
3145,F3145,BF,12713,CERAMIC BUILDING MATERIAL,Buildings,1771,0,0,0,0,0,,0
3146,F3146,BF,12714,IRON,Fittings Nails,1771,0,0,0,0,0,,0
3147,F3147,BF,12718,Animal Bone,Animal Bone,1771,0,0,0,0,0,,0
3148,F3148,BF,12721,POTTERY,Household Vessel,1772,0,0,0,0,0,,0
3149,F3149,BF,12728,Animal Bone,Animal Bone,1772,0,0,0,0,0,,0
3154,F3154,BF,12751,POTTERY,Household vessel,1775,0,0,0,0,0,;ROMAN;,0
3155,F3155,BF,12753,,Buildings,1775,0,0,0,0,0,,0
3164,F3164,SF,1231,Copper Alloy,Coin Legible,1934,97.69,532.43,531.05,367,375,4th Century,1,
3165,F3165,SF,1232,Copper Alloy,Jewellery Brooch,1934,0,0,0,0,0,,1,AD43-80
3180,F3180,SF,1489,Copper Alloy,Miscellaneous Sheet,2298,0,0,0,0,0,,0,Roman
3187,F3187,BF,12531,POTTERY,Household vessel,1753,0,0,0,0,0,;ROMAN;,0,
3188,F3188,BF,12534,IRON,Fittings Nails,1753,0,0,0,0,0,,0,
3201,F3201,BF,12561,POTTERY,;VESSEL;SAMIAN;,1756,0,0,0,0,0,;ROMAN;,0,
3202,F3202,BF,12563,CERAMIC BUILDING MATERIAL,;FLUE TILE;,1756,0,0,0,0,0,,0,
3203,F3203,BF,12564,IRON,;NAILS;FASTENINGS;SLAG;FRAGMENT;,1756,0,0,0,0,0,,0,
3204,F3204,BF,12755,GLASS,Household Vessel,1775,0,0,0,0,0,;ROMAN;,0,
3205,F3205,BF,12758,Animal Bone,Animal Bone,1775,0,0,0,0,0,,0,
3206,F3206,BF,12760,CHARCOAL,;OTHER;,1775,0,0,0,0,0,,0,
3235,F3235,BF,12881,POTTERY,household vessel,1788,0,0,0,0,0,;ROMAN;,0,
3236,F3236,BF,12883,CERAMIC BUILDING MATERIAL,Buildings,1788,0,0,0,0,0,,0,
3237,F3237,BF,12884,IRON,Fittings Nails,1788,0,0,0,0,0,,0,
3238,F3238,BF,12885,GLASS,Household Vessel,1788,0,0,0,0,0,;ROMAN;,0,
3239,F3239,BF,12886,STONE,"Buildings, Tesserae",1788,0,0,0,0,0,,0,
3240,F3240,BF,12968,Animal Bone,Animal Bone,1796,0,0,0,0,0,,0
3246,F3246,BF,13007,STONE,;UNWORKED;,1800,0,0,0,0,0,,0
3284,F3284,BF,13321,POTTERY,household vessel,1832,0,0,0,0,0,;ROMAN;,0
3285,F3285,BF,13324,IRON,Fittings Nails,1832,0,0,0,0,0,,0
3286,F3286,BF,13327,STONE,;UNWORKED;,1832,0,0,0,0,0,,0
3287,F3287,BF,13328,Animal Bone,Animal Bone,1832,0,0,0,0,0,,0
3294,F3294,BF,12887,STONE,;UNWORKED;,1788,0,0,0,0,0,,0
3295,F3295,BF,12888,Animal Bone,Animal Bone,1788,0,0,0,0,0,,0
3296,F3296,BF,12890,CHARCOAL,;OTHER;,1788,0,0,0,0,0,,0
3306,F3306,BF,12921,POTTERY,household vessel,1792,0,0,0,0,0,,0
3307,F3307,BF,12924,IRON,Fittings Nails,1792,0,0,0,0,0,,0
3308,F3308,BF,12961,POTTERY,household vessel,1796,0,0,0,0,0,;ROMAN;,0
3309,F3309,BF,12963,CERAMIC BUILDING MATERIAL,Buildings,1796,0,0,0,0,0,,0
3310,F3310,BF,12964,IRON,metalworking,1796,0,0,0,0,0,,0
3311,F3311,BF,12965,GLASS,Household Vessel,1796,0,0,0,0,0,;ROMAN;,0
3321,F3321,BF,13081,POTTERY,household vessel,1808,0,0,0,0,0,;ROMAN;,0
3322,F3322,BF,13108,Animal Bone,Animal Bone,1810,0,0,0,0,0,,0,
3339,F3339,SF,1166,Ceramic,Religion Figurine,1761,0,0,0,0,0,,1,Hadrianic-Antonine
3348,F3348,SF,1175,Iron,Metal-working,1796,0,0,0,0,0,,0,
3353,F3353,SF,1180,Glass,Recreation Counter,1792,0,0,0,0,0,,0,Roman
3366,F3366,BF,13831,POTTERY,;VESSEL;,1883,0,0,0,0,0,;ROMAN;,0,
3367,F3367,BF,13834,IRON,;NAILS;FASTENINGS;FASTENINGS;,1883,0,0,0,0,0,,0,
3378,F3378,BF,14007,STONE,;UNWORKED;,1900,0,0,0,0,0,,0,
3386,F3386,BF,14051,POTTERY,Vessel,1905,0,0,0,0,0,Roman,0,
3387,F3387,BF,14054,IRON,Fragments Nail,1905,0,0,0,0,0,,0,
3388,F3388,BF,14058,Animal Bone,Animal Bone,1905,0,0,0,0,0,,0,
3394,F3394,BF,14071,POTTERY,household vessel,1907,0,0,0,0,0,;ROMAN;,0,
3395,F3395,BF,14074,IRON,Fittings Nails,1907,0,0,0,0,0,,0,
3417,F3417,BF,13901,POTTERY,;VESSEL;,1890,0,0,0,0,0,,0,
3418,F3418,BF,13934,IRON,Fittings Nails,1893,0,0,0,0,0,,0,
3419,F3419,BF,13937,STONE,;UNWORKED;,1893,0,0,0,0,0,,0,
3432,F3432,BF,14001,POTTERY,Household Vessel,1900,0,0,0,0,0,;ROMAN;,0,
3433,F3433,BF,14004,IRON,Fitting Nails,1900,0,0,0,0,0,,0
3439,F3439,BF,14141,POTTERY,household vessel,1914,0,0,0,0,0,;ROMAN;,0
3440,F3440,BF,14144,IRON,Fittings Nails,1914,0,0,0,0,0,,0
3441,F3441,BF,14147,STONE,;UNWORKED;,1914,0,0,0,0,0,,0
3442,F3442,BF,14148,Animal Bone,Animal Bone,1914,0,0,0,0,0,,0
3443,F3443,BF,14151,POTTERY,household vessel,1915,0,0,0,0,0,;ROMAN;,0
3444,F3444,BF,14154,IRON,Fittings Nails,1915,0,0,0,0,0,,0
3445,F3445,BF,14158,Animal Bone,Animal Bone,1915,0,0,0,0,0,,0
3446,F3446,BF,14160,SHELL,Miscellaneous,1915,0,0,0,0,0,,0
3450,F3450,BF,14201,POTTERY,;VESSEL;SAMIAN;,1920,0,0,0,0,0,;ROMAN;,0
3451,F3451,BF,14078,Animal Bone,Animal Bone,1907,0,0,0,0,0,,0
3452,F3452,BF,14204,IRON,;NAILS;FASTENINGS;FASTENINGS;,1920,0,0,0,0,0,,0
3453,F3453,BF,14206,STONE,;TESSERAE;,1920,0,0,0,0,0,,0
3454,F3454,BF,14221,POTTERY,household vessel,1922,0,0,0,0,0,;ROMAN;,0
