find_id,find_type
2692,Miscellaneous Strip
2713,Miscellaneous Fitting
2721,Miscellaneous Sheet
2727,Fitting  Fragment
2740,Coin Legible
2745,Jewellery Ring Fragment
2747,Fitting Fragment
2752,Jewellery Brooch?
2754,Recreation Counter
2756,Jewellery Brooch
2760,Jewellery Brooch Fragment
2763,Miscellaneous Fragments
2766,Dress Hobnails
2767,Household Spoon
2772,Fitting Tack
2773,Samian Stamp
2776,Househol Handle / Fitting
2783,?Metal-working Fragment
2785,Miscellaneous Ring
2786,Jewellery Brooch
2793,Toilet Nail-cleaner
2795,Miscellaneous Fitting
2796,Jewellery Bead
2801,Transport Hipposandal
2805,Miscellaneous Shaft
2806,Fittings Cleat
2815,Dress Accessory Buckle Fragment
2824,Fitting Boss
2825,Samian Stamp
2828,Fitting Binding
2829,Buildings Tessera
2831,Writing Stylus
2832,Miscellaneous Object
2846,Coin Illegible
2856,Dress Accessory Fragment
2859,Miscellaneous Disc
2860,Jewellery Hairpin
2866,Miscellaneous Shaft Fragment
2877,Jewellery Brooch
2882,Miscellaneous Ring
2883,Samian Stamp
827,Miscellaneous Sheet Fragment
30321,Household Vessel
30323,Miscellaneous
30324,Metal-working
30325,Household
30326,Buildings Tessera
30328,Animal Bone
30329,Buildings
30330,Miscellaneous
30941,Household Vessel
30944,Fittings Nail
30951,Household Vessel
30953,Buildings Tessera
30594,Fittings Nail
30955,Household
30956,"Buildings, Tessera"
30958,Animal Bone
30971,Household Vessel
30973,Buildings Tessera
30974,Metal-working
30975,HOUSEHOLD
30976,Buildings Tessera
30978,Animal Bone
30980,Miscellaneous
31241,HOUSEHOLD VESSEL
31243,Buildings
31244,Fittings Nail
31333,Miscellaneous
31340,Miscellaneous
31368,Animal Bone
31371,Household Vessel
31391,Household Vessel
31394,Fittings Nail
31398,Animal Bone
31493,Buildings
31531,Household Vessel
31533,Buildings
31534,FITTINGS NAIL
31538,Miscellaneous
31540,Miscellaneous
31551,Household Vessel
31554,Miscellaneous
31591,Household Vessel
31594,Fittings Nail
31641,Household Vessel
31644,Fittings Nail
31645,Household
31647,Miscellaneous
31648,Animal Bone
31691,Household Vessel
31694,Fittings Nail
31695,Household Vessel
31698,Animal Bone
31741,Household Vessel
31744,Fittings Nail
31745,Household Vessel
31747,unworked stone
31748,Animal Bone
31781,Household Vessel
31783,Buildings
31784,Fittings Nail
31786,Miscellaneous
31791,Household Vessel
31793,Buildings
31794,Fittings Nail
31800,Miscellaneous
31831,Household Vessel
31838,Animal Bone
31839,Buildings
31841,Household Vessel
31844,Fittings Nail
31848,Animal Bone
31861,Household Vessel
31868,Animal Bone
31881,Household Vessel
31888,Animal Bone
31981,Household Vessels
31984,Fittings Nail
31985,Household
31986,Miscellaneous
31988,Animal Bone
32011,Household Vessel
32014,Fittings Nail
32015,Household
32051,Household Vessel
32053,Buildings Tessera
32055,Miscellaneous
32071,Household Vessel
32073,Building
32074,Fittings Nail
32078,Animal Bone
32080,Miscellaneous
32091,Household Vessel
32093,Building
32094,Metal-working
32096,Buildings Tessera
32097,Miscellaneous
32098,Animal Bone
32321,Household Vessel
32324,Metal-working
32325,Household
32326,Buildings Tessera
32328,Animal Bone
32329,Man Made
32511,Household Vessel
32513,Buildings Tessera
32514,Fittings Nail
32515,Household
32516,"Buildings, Tessera"
32518,Animal Bone
33001,Household Vessel
33471,Household Vessel
33474,Metal-working
33478,Animal Bone
34011,Household Vessel
34051,Household Vessel
34054,Fittings Nail
34058,Animal Bone
34081,Household Vessel
34088,Household Vessel
34461,Household Vessel
34464,Fittings Nail
34468,Animal Bone
34651,Household Vessel
34658,Animal Bone
34731,Household Vessel
34738,Animal Bone
34791,Household Vessel
34794,Fittings Nail
34798,Miscellaneous
34799,Building
34891,Household Vessel
34894,Metalworking
34895,Household
34898,Miscellaneous
34901,Household Vessel
34904,Fittings Nail
34908,Miscellaneous
34941,Household Vessel
34944,Metalworking
34945,Household
34946,Buildings Tessera
34948,Miscellaneous
34949,Buildings
34950,Miscellaneous
34991,Household Vessel
34993,Buildings Tessera
34998,Miscellaneous
35101,Household Vessel
35104,Fittings Nail
35108,Miscellaneous
35151,Household Vessel
35157,Miscellaneous
35711,Household Vessel
35715,Household
35720,Miscellaneous
35851,Household Vessel
35861,Household Vessel
35864,Fittings Nails
35868,Miscellaneous
35951,Household Vessel
35959,Miscellaneous Object
36011,Household Vessel
36013,Buildings Tessera
36014,Fittings Nail
36018,Miscellaneous
36171,Household Vessel
36179,Buildings
2924,Recreation Counter
2928,Miscellaneous Strip
2942,Toilet Toilet Set
2949,Writing Stylus
2952,Samian Stamp
2953,Miscellaneous Strip
2957,Miscellaneous Ring
2959,Household Lighting
2961,Toilet Toilet Set
2926,Coin Illegible
2958,Household Vessel
2964,Metal-working Debris
2965,Miscellaneous Fitting
2967,Buildings Wall Plaster
2974,Vessel Stamp
2975,Fitting Boss
2977,Dress Hobnails
2980,Miscellaneous Object
2983,Miscellaneous Sheet
2984,Fitting Nail
2985,Jewellery Brooch
2995,Household Quernstone
2998,Miscellaneous Strip
2999,Miscellaneous Sheet
3001,Recreation Counter
3002,Transport Terret
3005,Household Vessel
3006,Miscellaneous Object
3008,Miscellaneous Sheet
3011,Miscellaneous Fragment
3017,Miscellaneous Sheet
3018,Jewellery Bead
3021,Textile Needle
3022,Toilet/medical Mirror
3024,Fittings
3025,Textile Needle
3029,Miscellaneous Strips
3031,Miscellanaous Strip
3037,Household Lighting Lamp/candlestick
3040,Miscellaneous Object
3042,Fitting Nail
3044,Jewellery Brooch
